time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444950000	10.5938	1.67238	5.17222	0.467069	0.687199	radar	0	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8315	1.64743	5.10265	0.391501	0.46597	lidar	0	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1025	1.68947	5.13412	0.351311	0.305301	radar	0	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3931	1.68792	5.13881	0.285866	0.137445	lidar	0	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6254	1.7432	5.09213	0.286478	0.137407	radar	0	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8581	1.78963	5.06593	0.275261	0.0991125	lidar	0	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1119	1.88264	5.12869	0.288832	0.0968103	radar	0	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3625	1.87562	5.09536	0.228941	-0.0407132	lidar	0	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6212	1.91794	5.1377	0.207566	-0.0955125	radar	0	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8127	2.0902	5.11777	0.309302	0.128877	lidar	0	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0792	2.19222	5.21055	0.313707	0.0866623	radar	0	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.277	2.35624	5.18971	0.393045	0.243535	lidar	0	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4444	2.56482	5.10944	0.528689	0.557005	radar	0	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6967	2.64737	5.12375	0.510667	0.460536	lidar	0	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9144	2.77224	5.12003	0.532383	0.456909	radar	0	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.142	2.91378	5.13851	0.558573	0.461216	lidar	0	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4019	2.99701	5.18414	0.498217	0.215717	radar	0	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6172	3.0452	5.11233	0.462377	0.130242	lidar	0	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8466	3.1993	5.17345	0.482536	0.122787	radar	0	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0482	3.40558	5.21361	0.555362	0.257079	lidar	0	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2522	3.59286	5.21964	0.62047	0.397701	radar	0	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4643	3.77549	5.24814	0.658441	0.431845	lidar	0	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6789	3.9055	5.23258	0.652991	0.371711	radar	0	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9072	4.03043	5.22309	0.642029	0.315723	lidar	0	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.0955	4.2116	5.19883	0.70515	0.477766	radar	0	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2914	4.40269	5.22074	0.740529	0.498002	lidar	0	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5055	4.56152	5.23361	0.733349	0.405421	radar	0	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6857	4.72273	5.20729	0.74994	0.401028	lidar	0	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8226	4.95181	5.17256	0.869107	0.73034	radar	0	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9809	5.17219	5.19195	0.917579	0.750732	lidar	0	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1545	5.34565	5.17247	0.920528	0.665083	radar	0	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3144	5.51551	5.13342	0.93454	0.637042	lidar	0	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4705	5.6935	5.10145	0.952316	0.621466	radar	0	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6731	5.79791	5.01232	0.916497	0.515944	lidar	0	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8108	6.00808	5.0065	0.968793	0.613944	radar	0	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	17.9883	6.18486	4.99299	0.969043	0.559849	lidar	0	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1388	6.39581	5.01313	0.979625	0.490263	radar	0	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2581	6.62818	5.0327	1.02088	0.518775	lidar	0	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3886	6.84744	5.0399	1.0457	0.512447	radar	0	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
